step,customer,age,gender,merchant,category,amount,fraud
0415,806399525,2635,1,732195782,13,2667.58,1
0607,375459759,2635,1,480139044,4,492.21,1
0605,211657450,1925,1,1535107174,0,43.2,1
0821,1648683269,3645,0,348934600,12,13.04,0
0610,1871125244,0000,2,1823072687,12,1.28,0
0601,1487582791,3645,0,1823072687,12,25.99,0
0821,440694138,2635,1,151143676,9,104.67,1
0628,1087943403,3645,0,1823072687,12,23.83,0
0301,62153477,3645,0,1823072687,12,15.58,0
0621,483912131,2635,1,480139044,4,365.04,1
0703,1791903269,3645,1,1823072687,12,44.08,0
0320,1332125345,2635,1,348934600,12,31.48,0
0730,509546455,2635,0,1823072687,12,56.87,0
0728,653835530,2635,0,732195782,13,2731.95,1
0303,1275518867,5665,1,732195782,13,1304.93,1
0314,356873706,3645,0,1823072687,12,0.22,0
0426,2015203999,4655,1,1823072687,12,12.29,0
0330,563092648,6065,1,1600850729,2,44.33,0
0504,859276623,4655,1,1823072687,12,34.65,0
0701,1685492470,2635,1,480139044,4,615.85,1
0810,1547534233,2635,1,1823072687,12,5.26,0
0705,405614551,5665,1,1823072687,12,16.11,0
0418,1557448113,4655,1,1823072687,12,45.37,0
0630,1708261114,4655,1,348934600,12,39.1,0
0304,126638730,3645,1,980657600,10,281.12,1
0819,2068249421,5665,0,1823072687,12,36.61,0
0418,1761368684,1925,1,348934600,12,10.77,0
0811,1439470393,2635,1,1823072687,12,29.28,0
0328,1175850429,4655,0,209847108,0,381.08,1
0310,658175205,3645,1,348934600,12,48.14,0
0606,1735726583,5665,0,480139044,4,648.77,1
0616,632176173,2635,0,1823072687,12,10.95,0
0706,169274898,3645,1,1823072687,12,1.23,0
0724,1389923471,4655,0,1823072687,12,36.65,0
0702,715527139,1925,0,980657600,10,702.97,1
0331,966984015,4655,0,1823072687,12,1.09,0
0815,1974668487,2635,0,1823072687,12,40.79,0
0428,200459252,1925,0,85975013,3,18.01,0
0802,1651213581,3645,1,85975013,3,6.65,0
0310,825744832,2635,0,348934600,12,25.9,0
0729,656851338,2635,1,1823072687,12,31.81,0
0729,467035555,2635,1,85975013,3,27.57,0
0505,1085689043,2635,0,348934600,12,41.64,0
0611,1581709798,2635,0,348934600,12,13.77,0
0619,2043823425,4655,1,1741626453,10,154.97,1
0609,2072009750,2635,1,1823072687,12,8.89,0
0314,1877622224,2635,0,1198415165,0,223.42,1
0515,1304285526,5665,1,1823072687,12,36.35,0
0407,1433132752,3645,0,348934600,12,20.17,0
0811,806399525,2635,1,480139044,4,42.47,1
0718,510046708,6065,1,85975013,3,14.96,0
0726,471003383,3645,1,1823072687,12,6.71,0
0607,719332132,2635,1,1823072687,12,55.25,0
0713,296571542,2635,1,980657600,10,3.37,1
0526,1081618305,6065,1,348934600,12,30.97,0
0729,830078297,5665,1,1823072687,12,5.71,0
0725,1710930627,2635,1,1823072687,12,42.84,0
0722,44197733,2635,0,1823072687,12,51.8,0
0417,811312110,3645,1,1888755466,8,254.75,1
0705,896659218,4655,1,980657600,10,691.28,1
0811,928481238,2635,0,1198415165,0,439.69,1
0415,2042503226,2635,1,348934600,12,78.77,0
0606,1279668658,2635,0,85975013,3,39.87,0
0808,477595630,4655,0,1823072687,12,39.04,0
0710,179648560,4655,1,348934600,12,24.29,0
0616,90085212,1925,0,1823072687,12,49.8,0
0610,1777432937,3645,1,85975013,3,15.25,0
0528,885283469,1925,1,151143676,9,50.77,0
0708,2055009466,4655,0,1823072687,12,22.58,0
0413,71120756,3645,0,348934600,12,40.76,0
0629,512338137,3645,0,480139044,4,585.52,1
0824,910454738,4655,1,923029380,5,109.79,1
0605,203163727,5665,1,348934600,12,29.38,0
0805,784005201,4655,0,348934600,12,39.36,0
0820,1316936887,4655,0,348934600,12,4.31,0
0313,1823983599,2635,1,348934600,12,20.71,0
0427,117112395,3645,1,1741626453,10,270.96,1
0602,229665572,5665,1,348934600,12,32.91,0
0408,1105086283,1925,1,348934600,12,16.91,0
0628,2001505633,5665,1,1873032707,6,1032.14,1
0307,1535419154,2635,1,547558035,2,67.58,0
0413,660024200,2635,1,732195782,13,5821.37,1
0614,671524709,5665,1,1823072687,12,11.93,0
0510,920335350,2635,1,348934600,12,7.79,0
0502,503433561,4655,0,1823072687,12,29.52,0
0715,544997662,2635,1,209847108,0,107.25,0
0404,57136184,6065,1,980657600,10,16.6,1
0326,1825950751,4655,1,348934600,12,14.88,0
0303,365152877,2635,1,1823072687,12,6.17,0
0521,332190038,3645,0,980657600,10,676.56,1
0822,1849046345,4655,1,980657600,10,311.03,1
0627,1992960127,3645,1,1823072687,12,31.89,0
0422,1407767965,3645,1,1823072687,12,49.61,0
0806,1189752912,2635,1,348934600,12,19.14,0
0520,1423828273,2635,0,1888755466,8,267.81,1
0519,1620127338,2635,0,348934600,12,31.06,0
0515,1885919902,3645,1,1823072687,12,54.72,0
0302,923875417,5665,1,348934600,12,58.61,0
0304,25759288,1925,0,1946091778,0,162.97,0
0513,1350963410,5665,1,732195782,13,2250.3,1
0329,1834864466,2635,0,1823072687,12,32.84,0
0813,1647495093,3645,0,1873032707,6,462.31,1
0704,1597289593,4655,1,1823072687,12,26.8,0
0626,1978080967,2635,0,348934600,12,0.58,0
0528,2112631749,2635,1,348934600,12,37.05,0
0321,1646298550,2635,1,348934600,12,2.69,0
0408,1565058518,3645,0,1823072687,12,18.97,0
0503,1156672988,5665,0,1823072687,12,42.12,0
0630,587299231,2635,1,480139044,4,708.95,1
0804,790600178,6065,0,348934600,12,22.16,0
0603,226102422,4655,1,348934600,12,27.94,0
0611,1048694975,4655,0,348934600,12,19.55,0
0612,1350963410,5665,1,480139044,4,319.71,1
0315,781096653,4655,1,348934600,12,38.53,0
0817,1085056650,1925,1,1823072687,12,5.86,0
0621,1763624260,6065,1,1823072687,12,10.9,0
0501,623466885,3645,1,1823072687,12,31.85,0
0524,1532144144,1925,0,348934600,12,14.89,0
0429,1201848792,2635,1,151143676,9,63.93,0
0709,602544155,4655,0,348934600,12,1.36,0
0718,1994178184,4655,0,1198415165,0,24.33,1
0707,1722275939,1925,1,480139044,4,126.22,1
0624,1088768738,2635,1,1823072687,12,29.67,0
0425,1266329800,4655,1,348934600,12,36.3,0
0605,967677653,4655,1,1823072687,12,22.72,0
0313,1433843082,4655,1,1823072687,12,7.87,0
0420,394469483,3645,0,1888755466,8,331.04,1
0509,294914134,2635,1,209847108,0,62.12,0
0403,1568308501,3645,0,3697346,7,212.26,1
0804,1523732855,2635,1,732195782,13,1084.18,1
0502,1561307190,3645,1,1823072687,12,13.54,0
0428,1603928569,3645,1,1823072687,12,38.02,0
0626,1013313546,2635,1,980657600,10,74.48,1
0520,855942730,3645,1,348934600,12,37.86,0
0529,959506480,1925,1,1823072687,12,6.61,0
0404,1438489717,3645,1,1823072687,12,61.6,0
0320,998690782,2635,0,1823072687,12,39.88,0
0517,1204740969,3645,0,1823072687,12,30.79,0
0729,570913468,1925,1,1823072687,12,29.59,0
0506,762614808,1925,0,1823072687,12,14.09,0
0717,1978080967,2635,0,348934600,12,15.11,0
0812,1333661820,2635,0,1823072687,12,16.59,0
0428,693907036,3645,0,348934600,12,16.82,0
0707,1468001998,3645,1,1294758098,7,193.93,1
0704,1813823560,3645,1,348934600,12,7.34,0
0629,908646797,3645,0,480139044,4,171.82,1
0710,215334224,6065,0,348934600,12,16.64,0
0525,962830776,2635,0,1823072687,12,17.4,0
0817,910454738,4655,1,151143676,9,480.63,1
0615,402571153,4655,0,1823072687,12,68.9,0
0325,105845174,3645,0,348934600,12,44.2,0
0506,490238464,3645,0,1823072687,12,12.38,0
0406,1228152586,1925,1,348934600,12,7.49,0
0622,200882642,3645,0,1823072687,12,69.75,0
0424,188084843,2635,0,1535107174,0,211.44,0
0328,2060410910,2635,1,3697346,7,229.51,1
0521,1934886086,5665,0,1823072687,12,36.19,0
0331,1307336396,2635,1,348934600,12,29.16,0
0508,1736605496,4655,0,1823072687,12,45.34,0
0614,918659260,3645,1,1823072687,12,31.3,0
0816,57136184,6065,1,980657600,10,368.76,1
0615,909582983,3645,0,480139044,4,167.6,1
0711,656405809,1925,0,348934600,12,55.23,0
0629,1127983201,6065,1,1823072687,12,18.16,0
0519,587299231,2635,1,980657600,10,131.15,1
0310,1367581052,4655,0,857378720,6,378.11,1
0720,616715154,2635,1,2011752106,6,51.99,1
0624,245117318,3645,1,480139044,4,375.68,1
0806,384136428,1925,0,348934600,12,60.03,0
0718,910454738,4655,1,1649169323,10,670.02,1
0324,2054744914,4655,1,1823072687,12,35.33,0
0713,1469453217,1925,1,348934600,12,26.05,0
0508,910454738,4655,1,151143676,9,233.72,1
0419,449179311,2635,0,1873032707,6,450.18,1
0424,1640022626,6065,0,348934600,12,50.69,0
0516,1669649966,3645,1,1823072687,12,28.92,0
0701,1043282651,2635,1,349281107,2,29.18,0
0516,909525375,2635,0,1823072687,12,2.73,0
0317,949116847,3645,0,348934600,12,15.51,0
0804,1233405214,5665,1,348934600,12,17.43,0
0525,1546278193,2635,1,2122776122,5,310.04,1
0406,1818021493,2635,1,348934600,12,26.17,0
0328,1923945958,2635,0,1823072687,12,7.08,0
0411,168191673,1925,1,348934600,12,5.8,0
0405,405614551,5665,1,480139044,4,114.69,0
0417,483912131,2635,1,480139044,4,254.23,1
0625,1778512686,1925,0,348934600,12,4.71,0
0802,801383032,3645,0,1823072687,12,11.57,0
0724,121798652,3645,1,1823072687,12,24.39,0
0716,64700533,3645,1,1823072687,12,14.67,0
0807,1966502638,3645,1,1823072687,12,0.6,0
0724,1080813886,4655,0,1873032707,6,349.98,1
0521,617723960,4655,1,980657600,10,354.21,1
0622,1605182199,3645,1,1823072687,12,14.21,0
0511,54876469,4655,0,348934600,12,37.7,0
0803,227186054,6065,1,1823072687,12,24.13,0
0810,1763371495,2635,1,1823072687,12,20.82,0
0402,1605642067,1925,0,1823072687,12,11.8,0
0309,441400844,3645,1,348934600,12,2.41,0
0825,1969430351,3645,0,78078399,0,98.61,0
0731,1929968596,2635,1,1823072687,12,17.3,0
0423,2027892936,4655,1,732195782,13,3680.16,1
0814,450299456,2635,1,1823072687,12,35.76,0
0523,1714385979,3645,0,348934600,12,37.09,0
0321,1849046345,4655,1,692898500,4,607.85,1
0304,1714895875,2635,0,980657600,10,44.8,1
0604,802146030,2635,0,348934600,12,16.55,0
0715,718589253,1925,0,348934600,12,8.18,0
0303,995844287,5665,1,151143676,9,27.72,0
0621,1849046345,4655,1,857378720,6,266.1,1
0512,1020355960,2635,1,1823072687,12,2.91,0
0729,78938440,3645,0,1823072687,12,8.68,0
0525,1382187685,1925,1,732195782,13,1782.46,1
0703,377517197,3645,1,1823072687,12,31.2,0
0530,1714385979,3645,0,348934600,12,25.45,0
0302,2085650948,2635,1,348934600,12,47.55,0
0731,1555517201,6065,1,1198415165,0,44.06,1
0424,793132240,4655,1,480139044,4,127.19,1
0815,156263401,4655,1,1823072687,12,43.02,0
0320,2113737065,2635,1,480139044,4,442.88,1
0619,351252839,3645,1,1823072687,12,27.83,0
0425,676229147,2635,0,480139044,4,268.4,1
0406,1512444326,3645,1,1823072687,12,46.51,0
0325,1560904250,5665,1,3697346,7,189.91,1
0803,1342118588,3645,1,78078399,0,19.23,0
0308,1906711479,4655,1,480139044,4,36.47,1
0523,1685492470,2635,1,480139044,4,301.7,1
0718,1648492699,5665,1,1649169323,10,322.65,1
0510,1402203755,3645,0,1823072687,12,20.83,0
0329,1464489812,4655,0,1888755466,8,284.43,1
0516,2063978670,2635,0,1823072687,12,43.6,0
0618,1663162700,2635,0,480139044,4,872.55,1
0702,251449240,3645,1,1823072687,12,25.08,0
0410,1857140958,4655,0,1823072687,12,31.28,0
0404,388262831,2635,1,151143676,9,27.76,0
0306,338406777,3645,1,348934600,12,23.27,0
0726,1680347409,2635,1,1823072687,12,21.1,0
0324,1360806205,4655,1,692898500,4,125.5,0
0530,22162402,2635,0,1823072687,12,25.51,0
0506,365096731,3645,0,480139044,4,117.85,1
0530,1475317372,1925,1,1535107174,0,685.16,1
0404,1055164842,4655,0,348934600,12,36.28,0
0623,108940648,2635,1,1823072687,12,27.2,0
0306,1572610482,3645,1,480139044,4,194.89,1
0804,478820701,3645,0,1823072687,12,30.77,0
0515,1657925669,3645,1,980657600,10,92.61,1
0312,566598245,4655,0,348934600,12,14.66,0
0809,1969942970,3645,0,1823072687,12,35.52,0
0818,1652856443,2635,0,348934600,12,13.28,0
0406,806399525,2635,1,3697346,7,423.57,1
0521,194859196,2635,1,1823072687,12,30.35,0
0801,60026962,2635,1,480139044,4,442.35,1
0511,676156739,2635,1,1053599405,4,19.36,0
0505,987620594,5665,1,855959430,12,45.76,0
0508,1685492470,2635,1,1198415165,0,253.66,1
0513,1014010834,1925,0,1823072687,12,23.64,0
0727,2070997908,3645,1,1823072687,12,31.94,0
0620,35785606,2635,1,85975013,3,2.27,0
0705,521129957,5665,0,1600850729,2,128.5,0
0627,1504341710,2635,1,1823072687,12,8.81,0
0815,655625028,6065,1,209847108,0,122.37,0
0508,834963773,5665,1,1823072687,12,20.31,0
0413,1285086629,6065,1,348934600,12,27.12,0
0730,2074365962,4655,0,348934600,12,12.14,0
0505,1321889892,5665,0,348934600,12,50.46,0
0628,83204562,2635,1,1823072687,12,7.26,0
0805,440111595,2635,1,1823072687,12,29.54,0
0706,711859898,3645,1,1823072687,12,48.97,0
0422,1056476734,2635,0,1823072687,12,16.19,0
0601,1386324281,2635,0,348934600,12,2.03,0
0605,515668508,3645,1,732195782,13,4893.58,1
0301,1350793893,1925,0,209847108,0,60.71,0
0730,447271561,3645,0,1888755466,8,371.25,1
0430,1081944543,4655,1,85975013,3,65.8,0
0709,394488921,5665,1,480139044,4,630.7,1
0714,226835436,4655,1,1823072687,12,36.11,0
0818,1415168453,3645,1,1823072687,12,10.42,0
0715,1512732275,3645,1,1649169323,10,308.68,1
0801,1415704373,3645,1,348934600,12,17.23,0
0731,813786166,4655,1,2080407379,13,2104.48,1
0428,129386345,3645,0,1823072687,12,26.1,0
0516,1836308269,1925,0,348934600,12,5.52,0
0604,1435653171,1925,1,85975013,3,39.33,0
0425,1514271157,2635,0,1823072687,12,14.62,0
0610,1978250683,3645,1,840466850,11,275.59,1
0318,1214929092,3645,0,480139044,4,411.49,1
0519,2021849962,4655,1,1823072687,12,62.7,0
0823,1687722078,2635,0,1823072687,12,13.98,0
0422,2030210340,2635,0,1823072687,12,38.98,0
0604,744245203,2635,0,1823072687,12,18.66,0
0305,1038215695,4655,0,2011752106,6,77.87,1
0423,1404589205,2635,0,1823072687,12,31.96,0
0303,1095087737,3645,1,348934600,12,86.55,0
0428,892377311,2635,0,1823072687,12,42.09,0
0721,1415704373,3645,1,348934600,12,7.39,0
0627,1777502922,2635,1,855959430,12,59.01,1
0819,1288983259,3645,1,1741626453,10,272.3,1
0726,656901929,4655,0,480139044,4,513.24,1
0720,1382480007,4655,1,1600850729,2,174.23,0
0521,940143351,4655,0,1198415165,0,190.43,1
0316,968150727,2635,1,17379832,10,386.87,1
0727,737765767,2635,1,348934600,12,19.57,0
0715,54550671,4655,1,348934600,12,10.74,0
0301,1209651258,2635,0,855959430,12,20.72,0
0403,1667161948,3645,0,2011752106,6,353.69,1
0423,1282114843,2635,1,1823072687,12,33.37,0
0526,10105795,4655,0,1823072687,12,3.91,0
0807,932908444,1925,1,980657600,10,212.8,1
0421,1801015376,2635,0,348934600,12,51.95,0
0721,846889180,5665,0,85975013,3,28.85,0
0321,883803148,1925,1,348934600,12,31.81,0
0821,106397937,5665,0,85975013,3,64.74,0
0406,1048694975,4655,0,1823072687,12,23.27,0
0322,2140000055,3645,0,348934600,12,42.86,0
0717,103240070,2635,1,480139044,4,93.14,1
0711,189036899,0018,1,480139044,4,844.13,1
0809,1282333137,2635,1,980657600,10,367.7,1
0331,1043677034,2635,0,348934600,12,24.09,0
0419,1787239285,1925,1,348934600,12,30.88,0
0430,834963773,5665,1,1823072687,12,4.59,0
0310,1905396523,4655,1,348934600,12,53.91,0
0616,1830336096,4655,0,480139044,4,587.5,1
0322,1695454092,2635,0,348934600,12,21.66,0
0430,582479974,2635,0,1823072687,12,52.84,0
0815,1855338494,4655,0,1823072687,12,39.47,0
0624,1402203755,3645,0,1823072687,12,31.69,0
0731,383709704,4655,1,1823072687,12,41.09,0
0722,153419170,3645,1,348934600,12,15.74,0
0506,2046797625,2635,0,1823072687,12,29.63,0
0613,1242334684,2635,0,1823072687,12,20.68,0
0813,1731163929,2635,1,1823072687,12,24.0,0
0819,195373250,3645,0,1294758098,7,361.67,1
0821,1653588482,2635,1,732195782,13,3283.45,1
0506,1398865038,3645,1,1198415165,0,363.14,1
0804,801797246,2635,1,840466850,11,8.29,0
0724,1452020181,5665,0,1823072687,12,61.14,0
0628,2004941826,2635,1,480139044,4,696.41,1
0806,956954767,3645,1,348934600,12,11.06,0
0806,1299745394,2635,0,348934600,12,33.28,0
0411,286580355,6065,0,348934600,12,45.74,0
0307,518028573,2635,0,1823072687,12,12.43,0
0617,806399525,2635,1,1873032707,6,964.34,1
0504,1973547259,3645,0,1823072687,12,63.57,0
0722,1038996959,2635,0,1823072687,12,8.04,0
0816,245117318,3645,1,980657600,10,383.24,1
0423,762614808,1925,0,1823072687,12,22.74,0
0715,1468001998,3645,1,1823072687,12,44.12,0
0613,1850482225,4655,0,732195782,13,1698.62,1
0821,766302474,4655,1,980657600,10,521.21,1
0510,1079254393,1925,1,1946091778,0,1.04,0
0702,587299231,2635,1,209847108,0,284.02,1
0623,1318366224,3645,1,1823072687,12,24.7,0
0817,856303631,4655,0,1823072687,12,32.69,0
0801,1538635916,2635,1,1823072687,12,28.84,0
0316,1883823119,4655,0,348934600,12,8.62,0
0817,1622124632,2635,0,1946091778,0,50.99,0
0514,497553923,1925,1,348934600,12,3.64,0
0323,1189231170,3645,0,348934600,12,7.13,0
0511,2113737065,2635,1,480139044,4,227.43,1
0415,164104645,5665,1,1823072687,12,33.73,0
0402,1978250683,3645,1,17379832,10,955.34,1
0528,1734585073,5665,1,1823072687,12,30.53,0
0522,2093963973,2635,0,151143676,9,52.98,0
0529,1922157108,2635,1,1823072687,12,5.74,0
0527,374616385,1925,1,480139044,4,12.63,1
0531,961154945,3645,0,480139044,4,744.56,1
0626,570913468,1925,1,1823072687,12,40.51,0
0725,677202538,2635,1,348934600,12,43.3,0
0602,1637529334,2635,0,1823072687,12,13.27,0
0630,892377311,2635,0,348934600,12,32.63,0
0324,2001133685,2635,0,348934600,12,27.36,0
0517,550190826,3645,1,1823072687,12,37.5,0
0629,1965017830,5665,0,1823072687,12,13.3,0
0428,944695695,2635,1,980657600,10,11.56,1
0418,431496464,2635,0,732195782,13,2610.66,1
0306,991774315,3645,1,1823072687,12,25.97,0
0806,74966273,2635,1,547558035,2,340.16,1
0815,1747786179,4655,1,480139044,4,183.53,1
0817,538394574,2635,0,1823072687,12,39.11,0
0823,1734287915,2635,1,1823072687,12,21.18,0
